712	Khulna	Bagherhat	Bagerhat Sadar	Bagerhat Sadar	9300	2015-06-25 11:41:30	2015-06-25 11:41:30
713	Khulna	Bagherhat	Bagerhat Sadar	P.C College	9301	2015-06-25 11:41:30	2015-06-25 11:41:30
714	Khulna	Bagherhat	Bagerhat Sadar	Rangdia	9302	2015-06-25 11:41:30	2015-06-25 11:41:30
715	Khulna	Bagherhat	Chalna Ankorage	Chalna Ankorage	9350	2015-06-25 11:41:30	2015-06-25 11:41:30
716	Khulna	Bagherhat	Chalna Ankorage	Mongla Port	9351	2015-06-25 11:41:30	2015-06-25 11:41:30
717	Khulna	Bagherhat	Chitalmari	Barabaria	9361	2015-06-25 11:41:30	2015-06-25 11:41:30
718	Khulna	Bagherhat	Chitalmari	Chitalmari	9360	2015-06-25 11:41:30	2015-06-25 11:41:30
719	Khulna	Bagherhat	Fakirhat	Bhanganpar Bazar	9372	2015-06-25 11:41:30	2015-06-25 11:41:30
720	Khulna	Bagherhat	Fakirhat	Fakirhat	9370	2015-06-25 11:41:30	2015-06-25 11:41:30
721	Khulna	Bagherhat	Fakirhat	Mansa	9371	2015-06-25 11:41:30	2015-06-25 11:41:30
722	Khulna	Bagherhat	Kachua UPO	Kachua	9310	2015-06-25 11:41:30	2015-06-25 11:41:30
723	Khulna	Bagherhat	Kachua UPO	Sonarkola	9311	2015-06-25 11:41:30	2015-06-25 11:41:30
724	Khulna	Bagherhat	Mollahat	Charkulia	9383	2015-06-25 11:41:30	2015-06-25 11:41:30
725	Khulna	Bagherhat	Mollahat	Dariala	9382	2015-06-25 11:41:30	2015-06-25 11:41:30
726	Khulna	Bagherhat	Mollahat	Kahalpur	9381	2015-06-25 11:41:30	2015-06-25 11:41:30
727	Khulna	Bagherhat	Mollahat	Mollahat	9380	2015-06-25 11:41:30	2015-06-25 11:41:30
728	Khulna	Bagherhat	Mollahat	Nagarkandi	9384	2015-06-25 11:41:30	2015-06-25 11:41:30
729	Khulna	Bagherhat	Mollahat	Pak Gangni	9385	2015-06-25 11:41:30	2015-06-25 11:41:30
730	Khulna	Bagherhat	Morelganj	Morelganj	9320	2015-06-25 11:41:30	2015-06-25 11:41:30
731	Khulna	Bagherhat	Morelganj	Sannasi Bazar	9321	2015-06-25 11:41:30	2015-06-25 11:41:30
732	Khulna	Bagherhat	Morelganj	Telisatee	9322	2015-06-25 11:41:30	2015-06-25 11:41:30
733	Khulna	Bagherhat	Rampal	Foylahat	9341	2015-06-25 11:41:30	2015-06-25 11:41:30
734	Khulna	Bagherhat	Rampal	Gourambha	9343	2015-06-25 11:41:30	2015-06-25 11:41:30
735	Khulna	Bagherhat	Rampal	Rampal	9340	2015-06-25 11:41:30	2015-06-25 11:41:30
736	Khulna	Bagherhat	Rampal	Sonatunia	9342	2015-06-25 11:41:30	2015-06-25 11:41:30
737	Khulna	Bagherhat	Rayenda	Rayenda	9330	2015-06-25 11:41:30	2015-06-25 11:41:30
376	Chittagong	Bandarban	Alikadam	Alikadam	4650	2015-06-25 11:41:22	2015-06-25 11:41:22
377	Chittagong	Bandarban	Bandarban Sadar	Bandarban Sadar	4600	2015-06-25 11:41:22	2015-06-25 11:41:22
378	Chittagong	Bandarban	Naikhong	Naikhong	4660	2015-06-25 11:41:22	2015-06-25 11:41:22
379	Chittagong	Bandarban	Roanchhari	Roanchhari	4610	2015-06-25 11:41:22	2015-06-25 11:41:22
380	Chittagong	Bandarban	Ruma	Ruma	4620	2015-06-25 11:41:22	2015-06-25 11:41:22
381	Chittagong	Bandarban	Thanchi	Lama	4641	2015-06-25 11:41:22	2015-06-25 11:41:22
